# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.0
#@/tick	53366
#@/user_id	sky_win
a 	啊	c=1 d=4.75447e-49 t=53366
hao yi dian 	好一點	c=1 d=1.35193e-18 t=53366
hao yi ge 	好一個	c=1 d=1 t=29542
hao yong 	好用	c=1 d=1.23473e-10 t=53366
hao yong 	耗用	c=1 d=1 t=3524
hao you 	好友	c=2 d=4.77286e-05 t=53366
hao you qu 	好有趣	c=1 d=0.00047367 t=53366
hao zan 	好讚	c=1 d=9.88639e-43 t=53366
hao zhuan 	好轉	c=1 d=1 t=48634
he 	何	c=4 d=0.00276984 t=53366
he 	合	c=3 d=2.67077e-09 t=53366
he 	和	c=398 d=4.4839 t=53366
he 	喝	c=2 d=2.02481e-35 t=53366
he 	河	c=2 d=1 t=47541
he 	盒	c=2 d=6.75654e-06 t=53366
he 	禾	c=1 d=1 t=29350
he 	賀	c=1 d=0.00019258 t=53366
he 	鶴	c=2 d=1 t=38817
he bing 	合併	c=7 d=0.756796 t=53366
he ceng 	何曾	c=1 d=1 t=18238
he cha 	喝茶	c=3 d=0.0109985 t=53366
he cheng 	合成	c=6 d=1.956 t=29635
he chu 	何處	c=1 d=1 t=42785
he ci 	核磁	c=3 d=0.0016512 t=53366
he fu 	和服	c=1 d=0.236928 t=53366
he he 	呵呵	c=1 d=1.00553e-06 t=53366
he jin 	合金	c=1 d=6.92758e-06 t=53366
he jin dan tou 	合金彈頭	c=1 d=3.01441e-40 t=53366
he jiu 	喝酒	c=1 d=1.81174e-21 t=53366
he ka 	賀卡	c=1 d=6.06511e-30 t=53366
he li 	合理	c=48 d=1.01266 t=53366
he li ou 	和里歐	c=1 d=1 t=7245
he li xing 	合理性	c=1 d=0.546074 t=53366
he ni 	和你	c=2 d=2.52573e-18 t=53366
he pai 	合拍	c=1 d=1 t=49941
he qi lai 	合起來	c=1 d=1 t=25638
he shi 	何時	c=1 d=0.00456197 t=53366
he shi 	合適	c=10 d=0.911605 t=53366
he shi bi 	和氏璧	c=1 d=0.0160829 t=53366
he shui 	喝水	c=1 d=1 t=31452
he shui 	河水	c=1 d=1 t=18236
he suan 	覈算	c=3 d=2.77297 t=49633
he tong 	合同	c=1 d=1 t=42583
he wo 	和我	c=5 d=7.23142e-11 t=53366
he wu qi 	核武器	c=1 d=1 t=38008
he xie 	和諧	c=2 d=1 t=49576
he xin 	核心	c=17 d=1.68027 t=53366
he xing 	盒形	c=1 d=0.0174224 t=53366
he yong 	合用	c=1 d=2.08222e-11 t=53366
he yue 	合約	c=7 d=1.96079 t=44366
he zai 	何在	c=1 d=1 t=43978
he zhu 	合住	c=1 d=1 t=43645
he zi 	盒子	c=2 d=0.741611 t=53366
he zuo 	合作	c=9 d=0.472367 t=53366
he zuo huo ban 	合作伙伴	c=1 d=0.657047 t=53366
hei 	黑	c=17 d=0.0496296 t=53366
hei an 	黑暗	c=0 d=0.0224249 t=53366
hei an liao li 	黑暗料理	c=1 d=0.225373 t=53366
hei bao 	黑豹	c=1 d=6.71097e-44 t=53366
hei bu 	黑布	c=1 d=1 t=42932
hei dong 	黑洞	c=1 d=1.79127e-05 t=53366
hei dou 	黑豆	c=1 d=1 t=47392
hei hei hei 	嘿嘿嘿	c=1 d=3.60522e-28 t=53366
hei ke 	黑客	c=8 d=2.61218e-22 t=53366
hei ke song 	黑客松	c=1 d=1 t=43371
hei mao 	黑貓	c=1 d=1 t=31389
hei ping 	黑屏	c=1 d=0.400517 t=53366
hei ping guo 	黑蘋果	c=1 d=1.5772e-37 t=53366
hei ren 	黑人	c=1 d=0.000958635 t=53366
hei se 	黑色	c=3 d=0.116484 t=53366
hei su 	黑素	c=0 d=0.1 t=46802
hei ti 	黑體	c=1 d=3.10473e-05 t=53366
hei tou 	黑頭	c=1 d=3.13743e-40 t=53366
hei xiang 	黑箱	c=1 d=3.99742e-37 t=53366
hei ya 	黑鴨	c=1 d=0.555006 t=53366
hei ye 	黑夜	c=3 d=3.44126e-08 t=53366
hei zi 	黑子	c=2 d=0.00194627 t=53366
hen 	很	c=39 d=1.83258 t=53366
hen an jing 	很安靜	c=1 d=0.0632918 t=53366
hen bang 	很棒	c=1 d=0.0160829 t=53366
hen bao qian 	很抱歉	c=1 d=1 t=4386
hen bu cuo 	很不錯	c=1 d=2.8972e-44 t=53366
hen can 	很慘	c=1 d=1 t=23830
hen cha 	很差	c=1 d=9.96368e-17 t=53366
hen chang 	很長	c=1 d=1 t=39739
hen da 	很大	c=12 d=0.0461896 t=53366
hen duan 	很短	c=1 d=1.3505e-35 t=53366
hen duo 	很多	c=10 d=0.960789 t=53366
hen duo hen duo 	很多很多	c=1 d=9.29957e-29 t=53366
hen fang bian 	很方便	c=1 d=0.440432 t=53366
hen gao 	很高	c=1 d=1.20297e-27 t=53366
hen gao xing 	很高興	c=1 d=6.44256e-05 t=53366
hen guan zhu 	很關注	c=1 d=1.54176e-05 t=53366
hen gui 	很貴	c=1 d=1 t=11026
hen hao 	很好	c=7 d=0.591555 t=53366
hen hao chi 	很好吃	c=1 d=1 t=19292
hen hao kan 	很好看	c=1 d=4.16211e-12 t=53366
hen hen 	狠狠	c=2 d=0.532592 t=53366
hen ji 	很擠	c=1 d=0.00102302 t=53366
hen ji 	痕跡	c=1 d=1 t=19041
hen jian dan 	很簡單	c=2 d=0.121846 t=53366
hen jin 	很近	c=2 d=0.239309 t=53366
hen jiu 	很久	c=3 d=3.58053e-06 t=53366
hen kao pu 	很靠譜	c=1 d=1.20691e-36 t=53366
hen ke neng 	很可能	c=0 d=0.1 t=22078
hen ke neng ta 	很可能它	c=1 d=1 t=22079
hen kuai 	很快	c=2 d=0.0167394 t=53366
hen leng 	很冷	c=1 d=0.0132336 t=53366
hen liao jie 	很瞭解	c=1 d=1 t=111
hen man 	很慢	c=1 d=1 t=11125
hen nan 	很難	c=6 d=0.111917 t=53366
hen qi guai 	很奇怪	c=1 d=2.15009e-06 t=53366
hen qiang 	很強	c=1 d=4.96754e-05 t=53366
hen qing chu 	很清楚	c=1 d=1.32701e-05 t=53366
hen quan 	很全	c=1 d=0.261846 t=53366
hen shao 	很少	c=3 d=2.85173e-05 t=53366
hen te bie 	很特別	c=1 d=2.37008e-05 t=53366
hen xiang 	很響	c=1 d=1 t=19994
hen xiao 	很小	c=1 d=2.33718e-17 t=53366
hen you 	很有	c=4 d=0.0153752 t=53366
hen you yi si 	很有意思	c=1 d=1 t=28609
hen zhi de 	很值得	c=1 d=1.01349e-40 t=53366
hen zhong yao 	很重要	c=1 d=1.10247e-30 t=53366
hen zhuan ye 	很專業	c=1 d=1 t=22707
heng 	橫	c=2 d=2.37453e-27 t=53366
heng 	衡	c=1 d=1 t=8272
heng deng 	恆等	c=2 d=1.82882e-06 t=53366
heng jie mian 	橫截面	c=1 d=2.52969e-07 t=53366
heng liang 	衡量	c=3 d=6.57382e-07 t=53366
heng pan 	橫盤	c=1 d=0.102284 t=53366
heng xian 	橫線	c=1 d=0.00019549 t=53366
heng xiang 	橫向	c=2 d=0.0187793 t=53366
hong 	宏	c=2 d=0.0407622 t=53366
hong 	弘	c=3 d=0.00884146 t=53366
hong 	洪	c=2 d=0.233874 t=53366
hong 	紅	c=9 d=0.0862884 t=53366
hong 	鴻	c=1 d=1 t=13745
hong bai 	紅白	c=1 d=1 t=50991
hong bao 	宏包	c=1 d=0.0413782 t=53366
hong bao 	紅包	c=1 d=0.0305009 t=53366
hong dou 	紅豆	c=3 d=1.99501 t=50969
hong fa 	紅髮	c=1 d=1 t=24888
hong guan 	宏觀	c=2 d=2.13384e-05 t=53366
hong hei 	紅黑	c=1 d=7.23397e-15 t=53366
hong hei shu 	紅黑樹	c=1 d=7.25138e-14 t=53366
hong jing 	紅警	c=9 d=1.78015e-24 t=53366
hong jiu 	紅酒	c=1 d=1.97247e-21 t=53366
hong lao ban 	洪老闆	c=2 d=0.243063 t=53366
hong li 	紅利	c=1 d=1 t=50532
hong lou meng 	紅樓夢	c=2 d=4.45841e-19 t=53366
hong mi 	紅米	c=4 d=0.184862 t=53366
hong mi 	紅迷	c=1 d=0.0539337 t=53366
hong qiao 	虹橋	c=7 d=0.698562 t=53366
hong ri 	紅日	c=1 d=4.60924e-36 t=53366
hong se 	紅色	c=4 d=0.56836 t=53366
hong wai 	紅外	c=1 d=1 t=20117
hong wei 	宏偉	c=1 d=0.000376347 t=53366
hou 	侯	c=2 d=1.18731 t=25049
hou 	厚	c=2 d=0.0123779 t=53366
hou 	吼	c=18 d=2.27006 t=52571
hou 	後	c=51 d=1.35212 t=53366
hou bian 	後邊	c=1 d=1 t=11373
hou bu 	候補	c=0 d=0.1 t=45152
hou bu xuan 	候補選	c=1 d=1 t=45153
hou du 	厚度	c=1 d=0.151829 t=53366
hou hou 	吼吼	c=1 d=1 t=51753
hou hui 	後悔	c=2 d=0.0958472 t=53366
hou jie 	後街	c=1 d=1 t=31344
hou lai 	後來	c=4 d=6.20176e-05 t=53366
hou mian 	後面	c=14 d=0.618808 t=53366
hou pai 	後排	c=1 d=1 t=23675
hou qi 	後期	c=2 d=0.00265848 t=53366
hou ren 	後人	c=1 d=1.25638e-38 t=53366
hou sheng 	後生	c=1 d=1 t=16167
hou tai 	後臺	c=5 d=1 t=47073
hou tian 	後天	c=1 d=0.729789 t=53366
hou xi 	猴戲	c=1 d=1 t=17316
hou xiang 	後向	c=1 d=1 t=15028
hou xu 	後續	c=15 d=0.00711891 t=53366
hou xuan 	候選	c=10 d=0.0181334 t=53366
hou yi zheng 	後遺症	c=1 d=1.07247e-29 t=53366
hu 	乎	c=1 d=0.000626727 t=53366
hu 	互	c=3 d=0.680451 t=53366
hu 	湖	c=1 d=0.594521 t=53366
hu 	滬	c=1 d=1 t=38812
hu 	糊	c=1 d=1 t=33855
hu 	胡	c=1 d=0.00037447 t=53366
hu 	虎	c=4 d=2.5089 t=53366
hu 	護	c=2 d=0.000161662 t=53366
hu bei 	湖北	c=2 d=1.04243 t=41867
hu bin 	湖濱	c=2 d=4.11249e-08 t=53366
hu bu 	互補	c=2 d=0.993236 t=53366
hu chang 	弧長	c=1 d=1.48408e-27 t=53366
hu dong 	互動	c=1 d=6.52505e-37 t=53366
hu fa 	互發	c=1 d=1 t=36595
hu huan 	互換	c=1 d=1 t=43982
hu huan 	呼喚	c=3 d=1 t=50978
hu ji 	戶籍	c=3 d=0.000207579 t=53366
hu jiao fen 	胡椒粉	c=2 d=2.87788e-45 t=53366
hu ju 	護具	c=3 d=2.68317 t=53366
hu li 	互利	c=1 d=0.67032 t=53366
hu lian 	互聯	c=2 d=1 t=6190
hu lian wang 	互聯網	c=6 d=1.1308e-05 t=53366
hu lian wang shang 	互聯網上	c=1 d=1 t=4452
hu luan 	胡亂	c=1 d=2.79574e-07 t=53366
hu lve 	忽略	c=3 d=6.41042e-05 t=53366
hu nan 	湖南	c=1 d=0.138069 t=53366
hu ou 	互毆	c=0 d=0.1 t=2767
hu pan 	湖畔	c=2 d=9.70264e-27 t=53366
hu ping 	互評	c=2 d=0.0871609 t=53366
hu shen fu 	護身符	c=1 d=2.30043e-07 t=53366
hu shi 	忽視	c=2 d=1 t=49749
hu shi 	護士	c=1 d=1 t=10836
hu shou 	護手	c=1 d=1 t=47387
hu shou shuang 	護手霜	c=2 d=0.869358 t=53366
hu tong 	互通	c=1 d=1 t=6192
hu tong 	衚衕	c=1 d=1 t=6191
hu wai 	戶外	c=1 d=1 t=29987
hu xi 	呼吸	c=1 d=1.0004 t=34966
hu xi 	護膝	c=16 d=7.45137 t=53366
hu xi deng 	呼吸燈	c=1 d=1 t=33862
hu xiang 	互相	c=1 d=6.06924e-38 t=53366
hu xin ting 	湖心亭	c=3 d=1.03297 t=53366
hu yan 	護眼	c=2 d=0.597501 t=53366
hu zhao 	護照	c=4 d=0.00618889 t=53366
hu zhao ben 	護照本	c=1 d=0.000265207 t=53366
hu zhu 	互助	c=8 d=1.01304 t=50851
hua 	化	c=38 d=1.71362 t=53366
hua 	畫	c=11 d=0.363272 t=53366
hua 	花	c=14 d=3.55408e-07 t=53366
hua 	華	c=8 d=7.69454e-06 t=53366
hua 	話	c=22 d=0.866797 t=53366
hua ban 	滑板	c=2 d=1.99501 t=22942
hua bu 	畫布	c=1 d=0.00421123 t=53366
hua ce 	畫冊	c=1 d=5.50214e-31 t=53366
hua dian 	花店	c=1 d=1 t=47413
hua dian 	花點	c=0 d=0.1 t=47413
hua dian shi jian 	花點時間	c=1 d=1 t=47414
hua fei 	花費	c=1 d=1 t=33344
hua fen 	劃分	c=60 d=0.144434 t=53366
hua gang yan 	花崗岩	c=1 d=8.14205e-24 t=53366
hua hua 	花花	c=2 d=0.0270736 t=53366
hua jia 	畫家	c=1 d=8.31502e-36 t=53366
hua lai shi 	華萊士	c=2 d=1.66302e-35 t=53366
hua le 	花了	c=1 d=1 t=37450
hua li 	華麗	c=1 d=3.9741e-27 t=53366
hua lu shui 	花露水	c=1 d=1 t=24958
hua mian 	畫面	c=1 d=3.58968e-36 t=53366
hua shan 	華山	c=1 d=1 t=34499
hua sheng 	花生	c=2 d=0.29671 t=53366
hua sheng ke 	花生殼	c=1 d=6.75769e-08 t=53366
hua shui 	划水	c=2 d=1 t=34116
hua ti 	話題	c=1 d=0.145876 t=53366
hua tou 	花頭	c=0 d=1.01301e-06 t=53366
hua tou jing 	花頭精	c=2 d=0.000256225 t=53366
hua tu 	畫圖	c=2 d=0.0144095 t=53366
hua wei 	華爲	c=14 d=0.037068 t=53366
hua wen 	花紋	c=1 d=3.05632e-26 t=53366
hua wen 	華文	c=1 d=0.582748 t=53366
hua xian 	劃線	c=1 d=5.19796e-09 t=53366
hua xue 	化學	c=1 d=9.18952e-36 t=53366
hua yang 	花樣	c=1 d=1 t=38739
hua yi 	華裔	c=1 d=7.46967e-10 t=53366
hua yu 	畫語	c=1 d=5.30387e-11 t=53366
hua yu 	話語	c=1 d=1 t=17770
hua yuan 	花園	c=2 d=0.0668703 t=53366
hua zhuang pin 	化妝品	c=1 d=0.0584257 t=53366
huai 	壞	c=4 d=0.0930145 t=53366
huai chu 	壞處	c=2 d=1.10134e-18 t=53366
huai nian 	懷念	c=1 d=7.44912e-07 t=53366
huai yi 	懷疑	c=2 d=0.000418511 t=53366
huan 	患	c=1 d=4.34378e-44 t=53366
huan 	換	c=21 d=0.21489 t=53366
huan 	歡	c=1 d=1.14034e-45 t=53366
huan 	環	c=2 d=1 t=45426
huan 	還	c=3 d=0.0378507 t=53366
huan bao 	環保	c=1 d=3.94688e-05 t=53366
huan cheng 	換乘	c=1 d=0.0788664 t=53366
huan cheng 	換成	c=1 d=0.0505395 t=53366
huan chong 	緩衝	c=1 d=6.74713e-19 t=53366
huan cun 	緩存	c=1 d=0.00491728 t=53366
huan deng pian 	幻燈片	c=3 d=3.55347e-05 t=53366
huan ge 	換個	c=1 d=1 t=22741
huan hang 	換行	c=1 d=1.03133e-10 t=53366
huan huo 	換貨	c=1 d=0.163654 t=53366
huan jie 	環節	c=5 d=1.9603e-07 t=53366
huan jie 	緩解	c=1 d=1 t=42256
huan jing 	環境	c=85 d=2.21943 t=53366
huan jing xia 	環境下	c=1 d=1.96504e-06 t=53366
huan jing zhong 	環境中	c=1 d=1 t=2064
huan kuan 	還款	c=3 d=0.0222592 t=53366
huan le 	歡樂	c=2 d=4.65235e-24 t=53366
huan man 	緩慢	c=1 d=2.61348e-08 t=53366
huan qian 	換錢	c=2 d=0.486752 t=53366
huan qian 	還錢	c=1 d=0.489192 t=53366
huan shang 	換上	c=2 d=1.55726e-05 t=53366
huan shou lv 	換手率	c=1 d=0.103312 t=53366
huan xiang 	幻想	c=1 d=2.02413e-31 t=53366
huan ye 	幻夜	c=1 d=6.70412e-32 t=53366
huan ye 	換頁	c=1 d=0.412714 t=53366
huan ying 	幻影	c=1 d=0.744532 t=53366
huan ying 	歡迎	c=5 d=0.0172219 t=53366
huan yuan 	還原	c=1 d=0.00108628 t=53366
huang 	慌	c=2 d=1 t=51534
huang 	晃	c=1 d=1 t=31688
huang 	煌	c=1 d=1.73143e-17 t=53366
huang 	皇	c=1 d=1 t=45915
huang 	荒	c=1 d=0.600496 t=53366
huang 	黃	c=4 d=0.0328764 t=53366
huang an 	黃安	c=1 d=0.00103848 t=53366
huang di 	皇帝	c=1 d=0.000958635 t=53366
huang fei 	荒廢	c=1 d=2.92392e-05 t=53366
huang hun 	黃昏	c=1 d=1.71624e-31 t=53366
huang jia 	皇家	c=1 d=2.09302e-13 t=53366
huang jin 	黃金	c=2 d=0.546074 t=53366
huang jing 	黃精	c=1 d=0.551563 t=53366
huang ling 	皇陵	c=1 d=1.51093e-32 t=53366
huang long 	黃龍	c=3 d=0.000678925 t=53366
huang lun 	遑論	c=1 d=1 t=50683
huang quan 	黃泉	c=2 d=3.43242e-09 t=53366
huang se 	黃色	c=2 d=2.79574e-07 t=53366
huang shui 	黃水	c=1 d=3.05788e-32 t=53366
huang tang 	荒唐	c=1 d=9.14368e-36 t=53366
huang yan 	謊言	c=6 d=6.90017e-35 t=53366
huang yan 	黃岩	c=1 d=6.06718e-34 t=53366
huang you 	黃油	c=3 d=2.20195 t=2455
hui 	匯	c=2 d=1 t=50617
hui 	回	c=14 d=0.288111 t=53366
hui 	悔	c=1 d=1 t=37140
hui 	惠	c=2 d=1.90728e-08 t=53366
hui 	慧	c=3 d=4.6437e-06 t=53366
hui 	會	c=122 d=2.32864 t=53366
hui 	灰	c=1 d=0.00129402 t=53366
hui 	繐	c=1 d=6.00885e-38 t=53366
hui 	繪	c=3 d=2.49683 t=31325
hui 	輝	c=2 d=3.26391e-05 t=53366
hui bao 	回報	c=3 d=2.51567 t=53366
hui bao 	彙報	c=4 d=0.0591176 t=53366
hui bao han shu 	回報函數	c=1 d=0.000137073 t=53366
hui bu hui 	會不會	c=2 d=4.08886e-09 t=53366
hui bu qu 	回不去	c=1 d=3.95495e-29 t=53366
hui chan sheng 	會產生	c=1 d=0.588605 t=53366
hui chang 	會場	c=12 d=0.00265848 t=53366
hui cheng 	回城	c=1 d=1 t=45259
hui da 	回答	c=5 d=1.40978e-11 t=53366
hui dao 	回到	c=3 d=0.0692522 t=53366
hui fang 	回放	c=1 d=4.15065e-09 t=53366
hui fei 	會飛	c=1 d=0.00465413 t=53366
hui fu 	回覆	c=13 d=0.00364997 t=53366
hui fu 	恢復	c=16 d=2.04653 t=53366
hui gou 	回購	c=2 d=0.000754695 t=53366
hui gou 	灰狗	c=1 d=1.06274e-10 t=53366
hui gu 	回顧	c=1 d=2.30035e-36 t=53366
hui gui 	回歸	c=1 d=1 t=23644
hui guo 	回國	c=6 d=0.219808 t=53366
hui he 	回合	c=1 d=1 t=1240
hui hou 	會後	c=2 d=0.506698 t=53366
hui hua 	會話	c=1 d=8.50668e-10 t=53366
hui hui 	惠恵	c=1 d=1.58515e-08 t=53366
hui huo 	回火	c=3 d=2.9415 t=193
hui ji 	彙集	c=1 d=1.16524e-05 t=53366
hui jia 	回家	c=4 d=3.83474e-05 t=53366
hui jian 	會見	c=1 d=0.000534061 t=53366
hui ju 	匯聚	c=1 d=1 t=18589
hui ke shi 	會客室	c=1 d=0.137381 t=53366
hui kuan 	匯款	c=1 d=1 t=49519
hui lai 	回來	c=8 d=0.0042963 t=53366
hui le 	回了	c=1 d=2.98492e-42 t=53366
hui lv 	匯率	c=1 d=7.07114e-12 t=53366
hui qu 	回去	c=15 d=0.179053 t=53366
hui qu 	會去	c=1 d=2.33671e-44 t=53366
hui qu le 	回去了	c=1 d=1 t=53338
hui ru 	匯入	c=1 d=8.50378e-06 t=53366
hui se 	晦澀	c=1 d=1 t=50879
hui se 	灰色	c=4 d=1.01497e-08 t=53366
hui sheng 	回升	c=1 d=0.198891 t=53366
hui shi 	回事	c=2 d=0.00759701 t=53366
hui shou 	回收	c=10 d=0.371577 t=53366
hui shuo 	會說	c=1 d=0.000403635 t=53366
hui si 	會死	c=1 d=0.090718 t=53366
hui tong 	匯通	c=0 d=0.0142987 t=53366
hui tou 	回頭	c=1 d=2.18891e-40 t=53366
hui tu 	繪圖	c=2 d=0.0254611 t=53366
hui wan 	會玩	c=1 d=8.33823e-10 t=53366
hui wen 	迴文	c=1 d=3.51871e-07 t=53366
hui wen 	迴紋	c=2 d=0.0244325 t=53366
hui wu 	會務	c=1 d=0.102797 t=53366
hui xiang 	回想	c=1 d=4.67413e-24 t=53366
hui xuan 	迴旋	c=1 d=1 t=21179
hui yi 	會議	c=39 d=2.82764 t=53366
hui yi shi 	會議室	c=5 d=2.93163 t=41348
hui yin 	迴音	c=1 d=1 t=19996
hui ying 	回應	c=1 d=9.73423e-37 t=53366
hui you 	會有	c=2 d=0.57695 t=53366
hui you 	迴游	c=1 d=0.316637 t=53366
hui yuan 	會員	c=4 d=0.0190631 t=53366
hui zai 	會在	c=1 d=1.11128e-06 t=53366
hui zhang 	會長	c=1 d=2.44518e-19 t=53366
hui zong 	彙總	c=4 d=1.5891 t=53366
hun 	婚	c=1 d=1 t=20659
hun 	昏	c=2 d=1.2294e-10 t=53366
hun 	混	c=2 d=1 t=39452
hun 	魂	c=6 d=1.00001 t=39451
hun dan 	混蛋	c=1 d=0.000808767 t=53366
hun de 	混得	c=1 d=6.31714e-09 t=53366
hun he 	混合	c=6 d=0.331251 t=53366
hun li 	婚禮	c=1 d=2.36719e-20 t=53366
hun luan 	混亂	c=2 d=5.71501e-07 t=53366
hun tun 	餛屯	c=0 d=0.0144424 t=53366
hun xiao 	混淆	c=1 d=7.42585e-29 t=53366
huo 	或	c=8 d=1.68358 t=53366
huo 	活	c=2 d=0.196106 t=53366
huo 	火	c=4 d=4.28667e-06 t=53366
huo 	貨	c=11 d=0.16696 t=53366
huo 	霍	c=1 d=2.48002e-09 t=53366
huo ban 	夥伴	c=3 d=0.0972957 t=53366
huo bi 	貨幣	c=5 d=0.0816756 t=53366
huo che 	火車	c=3 d=0.0706512 t=53366
huo che piao 	火車票	c=3 d=1.10134e-18 t=53366
huo che zhan 	火車站	c=1 d=1.52507e-24 t=53366
huo dao 	貨到	c=1 d=4.51966e-11 t=53366
huo dao fu kuan 	貨到付款	c=1 d=8.47434e-24 t=53366
huo de 	獲得	c=9 d=1.27655 t=53366
huo de er 	獲得而	c=1 d=1 t=47604
huo dong 	活動	c=20 d=0.0746459 t=53366
huo duo huo shao 	或多或少	c=1 d=2.93898e-36 t=53366
huo er 	霍爾	c=0 d=4.64291e-05 t=53366
huo er wei ci 	霍爾維茨	c=1 d=0.000466618 t=53366
huo guang 	火光	c=1 d=8.37717e-06 t=53366
huo guo 	火鍋	c=3 d=0.000175127 t=53366
huo hu 	火狐	c=1 d=2.05052e-07 t=53366
huo jin 	霍金	c=1 d=1.86463e-36 t=53366
huo ju 	火炬	c=1 d=0.0219278 t=53366
huo li 	獲利	c=3 d=1 t=40856
huo luan 	霍亂	c=2 d=6.17259e-16 t=53366
huo qu 	獲取	c=5 d=0.159621 t=53366
huo shan 	火山	c=0 d=2.511e-09 t=53366
huo shan qian 	火山前	c=1 d=1.41975e-35 t=53366
huo shi 	或是	c=3 d=0.00366107 t=53366
huo wu 	貨物	c=2 d=1.03159 t=46585
huo xia qu 	活下去	c=1 d=5.84437e-35 t=53366
huo xing 	火星	c=5 d=0.000953854 t=53366
huo xu 	或許	c=3 d=0.0475088 t=53366
huo xue 	活血	c=1 d=1.09265e-13 t=53366
huo ying 	火影	c=26 d=1.16758 t=53366
huo ying ren zhe 	火影忍者	c=3 d=0.285076 t=53366
huo zai 	活在	c=1 d=1.6371e-05 t=53366
huo zai 	火災	c=1 d=3.46574e-05 t=53366
huo zhe 	或者	c=43 d=1.55557 t=53366
huo zhe 	活着	c=6 d=0.000558643 t=53366
ji 	即	c=21 d=0.228815 t=53366
ji 	及	c=161 d=1.54708 t=53366
ji 	吉	c=1 d=6.72742e-14 t=53366
ji 	基	c=1 d=0.822527 t=11583
ji 	姬	c=2 d=0.287138 t=53366
ji 	季	c=2 d=0.00182715 t=53366
ji 	寄	c=7 d=1.11717 t=53366
ji 	幾	c=2 d=1.77939e-05 t=53366
ji 	急	c=2 d=1.99501 t=33029
ji 	擠	c=1 d=0.166127 t=53366
ji 	既	c=1 d=0.666977 t=53366
ji 	機	c=14 d=1.66223 t=53366
ji 	積	c=3 d=0.224249 t=53366
ji 	紀	c=5 d=1.97046e-09 t=53366
ji 	級	c=6 d=1 t=35227
ji 	繼	c=1 d=5.43628e-07 t=53366
ji 	芨	c=1 d=4.98804e-24 t=53366
ji 	計	c=1 d=1 t=51043
ji 	記	c=1 d=8.67557e-06 t=53366
ji 	際	c=1 d=1 t=28589
ji 	集	c=7 d=0.245443 t=53366
ji 	雞	c=0 d=0.0408608 t=53366
ji ben 	基本	c=52 d=0.952046 t=53366
ji ben shang 	基本上	c=1 d=1.54203e-07 t=53366
ji bian 	即便	c=1 d=1.25616e-36 t=53366
ji bian 	激辯	c=1 d=0.557106 t=53366
ji bie 	級別	c=5 d=3.86597e-26 t=53366
ji bu 	極不	c=0 d=5.35535e-08 t=53366
ji bu de 	記不得	c=1 d=1.45995e-40 t=53366
ji bu yuan yi 	極不願意	c=1 d=5.38219e-07 t=53366
ji cha ji yong 	即插即用	c=1 d=1 t=729
ji chang 	機場	c=19 d=2.23401 t=53366
ji cheng 	繼承	c=3 d=0.363832 t=53366
ji cheng 	集成	c=32 d=0.56836 t=53366
ji chi 	雞翅	c=1 d=1.8155e-16 t=53366
ji chu 	基礎	c=45 d=0.447311 t=53366
ji chu 	寄出	c=8 d=1.0588 t=53366
ji chu 	祭出	c=1 d=3.47589e-10 t=53366
ji chuang 	機牀	c=2 d=0.327915 t=53366
ji ci 	幾次	c=1 d=2.33194e-20 t=53366
ji cun 	寄存	c=1 d=4.36198e-05 t=53366
ji cun qi 	寄存器	c=1 d=5.2077e-31 t=53366
ji da 	極大	c=1 d=1 t=40478
ji dai 	基帶	c=2 d=0.0140621 t=53366
ji dan 	雞蛋	c=3 d=2.86337 t=53366
ji dan mian 	雞蛋麪	c=1 d=6.53749e-30 t=53366
ji dao 	寄到	c=2 d=0.00782838 t=53366
ji de 	記得	c=4 d=0.00889312 t=53366
ji di 	基地	c=9 d=1 t=40021
ji di 	極低	c=0 d=0.00342181 t=53366
ji di de 	極低的	c=1 d=0.0343896 t=53366
ji dian 	幾點	c=3 d=0.163654 t=53366
ji dong 	激動	c=1 d=0.000114493 t=53366
ji duan 	極端	c=1 d=1 t=18890
ji e 	飢餓	c=1 d=0.0352602 t=53366
ji fang 	機房	c=1 d=0.1 t=29778
ji fang mian 	幾方面	c=3 d=1 t=29780
ji fang niao 	機房鳥	c=1 d=1 t=29779
ji fei 	計費	c=6 d=0.430137 t=53366
ji fen 	幾分	c=3 d=2.85963e-35 t=53366
ji fen 	積分	c=2 d=2.65388e-12 t=53366
ji fen zhong 	幾分鐘	c=1 d=1 t=52637
ji ge 	幾個	c=20 d=0.00966917 t=53366
ji gou 	機構	c=4 d=3.85846e-06 t=53366
ji guan 	機關	c=1 d=1 t=50134
ji guang 	激光	c=1 d=2.36477e-08 t=53366
ji han shu 	基函數	c=1 d=1 t=11584
ji hang 	幾行	c=1 d=0.0153752 t=53366
ji hao 	幾號	c=1 d=1 t=43302
ji he 	幾何	c=2 d=1.98511 t=37178
ji he 	幾盒	c=1 d=0.0261214 t=53366
ji he 	集合	c=33 d=0.400159 t=53366
ji hu 	幾乎	c=9 d=1.0323 t=53366
ji hua 	計劃	c=30 d=0.0739031 t=53366
ji hua wai 	計劃外	c=2 d=1 t=39566
ji hua wei 	計劃未	c=1 d=1 t=3861
ji huang 	饑荒	c=12 d=8.14799 t=53366
ji hui 	寄回	c=4 d=0.189828 t=53366
